2023-07-07T04:26:09.580-0400 DEBUG Adding type registration date -> org.hibernate.type.BasicTypeReference@6f152006
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@6f152006
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration time -> org.hibernate.type.BasicTypeReference@3a393455
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@3a393455
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@13518f37
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@13518f37
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@13518f37
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration calendar -> org.hibernate.type.BasicTypeReference@7cbc3762
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@7cbc3762
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@7cbc3762
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@3a6f2de3
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@49872d67
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration instant -> org.hibernate.type.BasicTypeReference@56303b57
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@56303b57
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration uuid -> org.hibernate.type.BasicTypeReference@4b2a01d4
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@4b2a01d4
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@4b2a01d4
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@8692d67
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@78f5c518
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration class -> org.hibernate.type.BasicTypeReference@2f48b3d2
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@2f48b3d2
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration currency -> org.hibernate.type.BasicTypeReference@34f7234e
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration Currency -> org.hibernate.type.BasicTypeReference@34f7234e
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@34f7234e
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration locale -> org.hibernate.type.BasicTypeReference@753432a2
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@753432a2
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration serializable -> org.hibernate.type.BasicTypeReference@23bff419
2023-07-07T04:26:09.581-0400 DEBUG Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@23bff419
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration timezone -> org.hibernate.type.BasicTypeReference@4983159f
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@4983159f
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@44e3a2b2
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@44e3a2b2
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration url -> org.hibernate.type.BasicTypeReference@101639ae
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@101639ae
2023-07-07T04:26:09.582-0400 DEBUG Adding type registration row_version -> org.hibernate.type.BasicTypeReference@4c550889
2023-07-07T04:26:09.585-0400 DEBUG Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2a5b3fee
2023-07-07T04:26:09.586-0400 DEBUG Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2a5b3fee
2023-07-07T04:26:09.587-0400 DEBUG Adding type registration object -> org.hibernate.type.JavaObjectType@77d2e85
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@77d2e85
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration null -> org.hibernate.type.NullType@3bd418e4
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@544820b7
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@6b98a075
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@2e61d218
2023-07-07T04:26:09.588-0400 DEBUG Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@3569fc08
2023-07-07T04:26:09.589-0400 DEBUG Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@20b12f8a
2023-07-07T04:26:09.589-0400 DEBUG Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@e84a8e1
2023-07-07T04:26:09.589-0400 DEBUG Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@2e554a3b
2023-07-07T04:26:09.589-0400 DEBUG Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@54a67a45
2023-07-07T04:26:09.611-0400 WARN HHH10001002: Using built-in connection pool (not intended for production use)
2023-07-07T04:26:09.616-0400 INFO HHH10001005: Loaded JDBC driver class: org.postgresql.Driver
2023-07-07T04:26:09.616-0400 INFO HHH10001012: Connecting with JDBC URL [jdbc:postgresql://localhost:5432/musicrate]
2023-07-07T04:26:09.616-0400 INFO HHH10001001: Connection properties: {password=root, user=root}
2023-07-07T04:26:09.616-0400 INFO HHH10001003: Autocommit mode: false
2023-07-07T04:26:09.619-0400 DEBUG Initializing Connection pool with 1 Connections
2023-07-07T04:26:09.619-0400 INFO HHH10001115: Connection pool size: 20 (min=1)
2023-07-07T04:26:09.776-0400 DEBUG Database ->
       name : PostgreSQL
    version : 15.3 (Debian 15.3-1.pgdg120+1)
      major : 15
      minor : 3
2023-07-07T04:26:09.776-0400 DEBUG Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.8
      major : 42
      minor : 2
2023-07-07T04:26:09.776-0400 DEBUG JDBC version : 4.2
2023-07-07T04:26:09.814-0400 DEBUG JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2023-07-07T04:26:09.828-0400 DEBUG addDescriptor(6, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@5fe8b721) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@551a20d6)
2023-07-07T04:26:09.834-0400 DEBUG addDescriptor(2004, BlobTypeDescriptor(BLOB_BINDING)) replaced previous registration(BlobTypeDescriptor(DEFAULT))
2023-07-07T04:26:09.835-0400 DEBUG addDescriptor(2005, ClobTypeDescriptor(CLOB_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2023-07-07T04:26:09.835-0400 DEBUG addDescriptor(3003, TimestampUtcDescriptor) replaced previous registration(TimestampUtcDescriptor)
